               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11009,            0.027778,            0.014946,              0.5376,            0.074081,             0.02708,           0.0068701,            0.093304,            0.026397,           0.0046753,            0.070229,           0.0033079,           0.0033079
                   1,            0.080775,            0.027818,             0.00477,             0.60964,             0.13227,             0.10954,            0.042305,            0.078569,             0.02373,           0.0043915,            0.040222,           0.0066346,           0.0066346
                   2,            0.076208,            0.026003,           0.0038418,              0.3463,             0.31015,             0.25219,             0.10171,            0.071965,            0.022865,           0.0038641,            0.010209,           0.0099548,           0.0099548
                   3,            0.069914,            0.025978,           0.0035448,             0.33108,             0.36307,             0.26027,            0.098437,            0.064424,             0.02379,            0.004644,           0.0099703,           0.0099703,           0.0099703
                   4,             0.06617,            0.025734,           0.0027064,             0.51377,             0.45066,             0.44137,             0.21569,            0.061678,            0.023142,           0.0031256,           0.0099703,           0.0099703,           0.0099703
                   5,            0.062549,             0.02484,           0.0026291,             0.51346,              0.4416,             0.43742,             0.17824,            0.062523,            0.023983,           0.0035542,           0.0099604,           0.0099604,           0.0099604
                   6,            0.060639,            0.025288,           0.0021081,             0.55688,             0.38851,             0.40255,             0.19018,            0.064167,            0.025701,           0.0029489,           0.0099505,           0.0099505,           0.0099505
                   7,            0.059357,             0.02451,           0.0022855,              0.6383,             0.51011,             0.53406,              0.2562,            0.054799,            0.021604,           0.0023052,           0.0099406,           0.0099406,           0.0099406
                   8,            0.058191,            0.023336,           0.0020034,             0.55657,             0.57453,             0.57504,             0.26883,            0.053183,            0.021341,           0.0022583,           0.0099307,           0.0099307,           0.0099307
                   9,            0.056345,            0.024299,           0.0020129,             0.56801,             0.57959,             0.59497,             0.29943,            0.053372,            0.020659,           0.0020045,           0.0099208,           0.0099208,           0.0099208
                  10,            0.055455,            0.024006,           0.0020372,               0.735,             0.54178,             0.65021,             0.35061,            0.054169,            0.020575,           0.0020641,           0.0099109,           0.0099109,           0.0099109
                  11,            0.055211,             0.02379,           0.0017926,             0.72839,             0.58548,             0.69026,             0.37496,            0.052698,            0.020423,           0.0021401,            0.009901,            0.009901,            0.009901
                  12,            0.053762,            0.023167,           0.0018965,             0.70634,             0.61394,             0.66413,              0.3251,             0.05182,            0.020852,           0.0018649,           0.0098911,           0.0098911,           0.0098911
                  13,            0.053114,             0.02353,           0.0017429,             0.72838,             0.64075,              0.7026,             0.36761,            0.050318,            0.020915,           0.0018899,           0.0098812,           0.0098812,           0.0098812
                  14,            0.052478,            0.022502,           0.0015417,             0.69351,             0.64455,             0.70484,             0.40241,            0.049659,            0.019803,           0.0016627,           0.0098713,           0.0098713,           0.0098713
                  15,            0.051813,            0.023176,           0.0012637,             0.71132,             0.62932,             0.68919,              0.3545,            0.049493,            0.019977,           0.0019536,           0.0098614,           0.0098614,           0.0098614
                  16,            0.051448,            0.022879,            0.001671,             0.69808,             0.55597,             0.59818,             0.33504,            0.052485,            0.022414,           0.0024615,           0.0098515,           0.0098515,           0.0098515
                  17,            0.050663,            0.023031,           0.0013484,             0.75322,             0.57994,             0.66371,             0.37815,            0.049076,             0.01999,           0.0019155,           0.0098416,           0.0098416,           0.0098416
                  18,            0.050555,            0.022765,           0.0016132,             0.68571,             0.62503,             0.67111,             0.37833,            0.049882,            0.020165,           0.0021433,           0.0098317,           0.0098317,           0.0098317
                  19,              0.0498,            0.023413,           0.0017713,              0.6998,             0.63574,             0.69828,             0.38953,            0.049256,            0.020086,           0.0015598,           0.0098218,           0.0098218,           0.0098218
                  20,            0.050016,            0.022034,           0.0015959,             0.70751,             0.67947,             0.71882,             0.42111,            0.049019,            0.019953,           0.0021919,           0.0098119,           0.0098119,           0.0098119
                  21,            0.049271,            0.021619,           0.0015812,                0.71,             0.67989,             0.70292,             0.37711,            0.048776,            0.020254,            0.002175,            0.009802,            0.009802,            0.009802
                  22,            0.048557,            0.022109,           0.0014345,             0.69998,             0.74042,             0.74206,             0.40707,            0.048207,            0.019388,           0.0019141,           0.0097921,           0.0097921,           0.0097921
